+-------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+-----------+-------------+-----------------+--------------------------+
| id_category | name                                                                                | category_url                                                                                                      | id_parent | level_depth | direct_products | recursive_products_total |
|       59469 | Porsche                                                                             | https://www.driveonly.fr/fr/59469-porsche                                                                         |       175 |           3 |               0 |                        0 |
|       59469 | Ligne et Echappement sport Porsche                                                  | https://www.driveonly.fr/fr/59469-ligne-et-echappement-sport-porsche                                              |       175 |           3 |               0 |                        0 |
|       27723 | Ligne et Echappement sport RM MOTORS                                                | https://www.driveonly.fr/fr/27723-ligne-et-echappement-sport-rm-motors                                            |       175 |           3 |               0 |                        0 |
|       27723 | Auto                                                                                | https://www.driveonly.fr/fr/27723-auto                                                                            |       175 |           3 |               0 |                        0 |
|       60131 | Ligne et Echappement sport Pièces détachées                                         | https://www.driveonly.fr/fr/60131-ligne-et-echappement-sport-pieces-detachees                                     |       175 |           3 |               0 |                        0 |
|       60131 | Pièces détachées                                                                    | https://www.driveonly.fr/fr/60131-pieces-detachees                                                                |       175 |           3 |               0 |                        0 |
|       26344 | CRF1100 Africa Twin                                                                 | https://www.driveonly.fr/fr/26344-crf1100-africa-twin                                                             |       181 |           5 |               0 |                        0 |
|        9987 | Collecteur + Décatalyseur                                                           | https://www.driveonly.fr/fr/9987-collecteur-decatalyseur                                                          |       182 |           6 |               0 |                        0 |
|        2441 | Passage Haut                                                                        | https://www.driveonly.fr/fr/2441-passage-haut                                                                     |       194 |           6 |               0 |                        0 |
|       13338 | Passage Bas                                                                         | https://www.driveonly.fr/fr/13338-passage-bas                                                                     |       201 |           6 |               0 |                        0 |
|       13347 | Passage Haut                                                                        | https://www.driveonly.fr/fr/13347-passage-haut                                                                    |       201 |           6 |               0 |                        0 |
|        2435 | Passage Bas                                                                         | https://www.driveonly.fr/fr/2435-passage-bas                                                                      |       202 |           6 |               0 |                        0 |
|        2436 | Passage Haut                                                                        | https://www.driveonly.fr/fr/2436-passage-haut                                                                     |       202 |           6 |               0 |                        0 |
|       13955 | Zzr 600                                                                             | https://www.driveonly.fr/fr/13955-zzr-600                                                                         |       232 |           6 |               0 |                        0 |
|       26346 | Gsx-S 1000 2021-202x                                                                | https://www.driveonly.fr/fr/26346-gsx-s-1000-2021-202x                                                            |       240 |           5 |               0 |                        0 |
|         256 | R Nine T R9t                                                                        | https://www.driveonly.fr/fr/256-r-nine-t-r9t                                                                      |       254 |           5 |               0 |                        0 |
|         126 | BA20D                                                                               | https://www.driveonly.fr/fr/126-ba20d                                                                             |       262 |           4 |               0 |                        0 |
|         170 | Honda                                                                               | https://www.driveonly.fr/fr/170-kit-xenon-honda                                                                   |       262 |           4 |               0 |                        0 |
|       25513 | Husaberg                                                                            | https://www.driveonly.fr/fr/25513-husaberg                                                                        |       262 |           4 |               0 |                        0 |
|         171 | Kawasaki                                                                            | https://www.driveonly.fr/fr/171-kawasaki                                                                          |       262 |           4 |               0 |                        0 |
|         168 | Suzuki                                                                              | https://www.driveonly.fr/fr/168-suzuki                                                                            |       262 |           4 |               0 |                        0 |
|         369 | 1,9 Jtd                                                                             | https://www.driveonly.fr/fr/369-1-9-jtd                                                                           |       368 |           7 |               0 |                        0 |
|       12673 | 1-9 Jtd                                                                             | https://www.driveonly.fr/fr/12673-1-9-jtd                                                                         |       368 |           7 |               0 |                        0 |
|       10995 | Standard                                                                            | https://www.driveonly.fr/fr/10995-standard                                                                        |       369 |           8 |               0 |                        0 |
|         391 | 2,5 V6                                                                              | https://www.driveonly.fr/fr/391-2-5-v6                                                                            |       375 |           7 |               0 |                        0 |
|       12472 | 2-5 V6                                                                              | https://www.driveonly.fr/fr/12472-2-5-v6                                                                          |       375 |           7 |               0 |                        0 |
|       12568 | 1-8i                                                                                | https://www.driveonly.fr/fr/12568-1-8i                                                                            |       375 |           7 |               0 |                        0 |
|       12376 | 1-9 Jtd                                                                             | https://www.driveonly.fr/fr/12376-1-9-jtd                                                                         |       375 |           7 |               0 |                        0 |
|         386 | 2,0i                                                                                | https://www.driveonly.fr/fr/386-2-0i                                                                              |       375 |           7 |               0 |                        0 |
|       12518 | 2-0i                                                                                | https://www.driveonly.fr/fr/12518-2-0i                                                                            |       375 |           7 |               0 |                        0 |
|         381 | 1,8i                                                                                | https://www.driveonly.fr/fr/381-1-8i                                                                              |       375 |           7 |               0 |                        0 |
|       12620 | 1-6i                                                                                | https://www.driveonly.fr/fr/12620-1-6i                                                                            |       375 |           7 |               0 |                        0 |
|         401 | 1,9 Jtd                                                                             | https://www.driveonly.fr/fr/401-1-9-jtd                                                                           |       375 |           7 |               0 |                        0 |
|       12426 | 2-4 Jtd                                                                             | https://www.driveonly.fr/fr/12426-2-4-jtd                                                                         |       375 |           7 |               0 |                        0 |
|         396 | 2,4 Jtd                                                                             | https://www.driveonly.fr/fr/396-2-4-jtd                                                                           |       375 |           7 |               0 |                        0 |
|         376 | 1,6i                                                                                | https://www.driveonly.fr/fr/376-1-6i                                                                              |       375 |           7 |               0 |                        0 |
|         377 | Standard                                                                            | https://www.driveonly.fr/fr/377-standard                                                                          |       376 |           8 |               0 |                        0 |
|         379 | 100-102/21-1                                                                        | https://www.driveonly.fr/fr/379-100-102-21-1                                                                      |       377 |           9 |               0 |                        0 |
|         378 | 100-102/17-1                                                                        | https://www.driveonly.fr/fr/378-100-102-17-1                                                                      |       377 |           9 |               0 |                        0 |
|         380 | 100-102/26                                                                          | https://www.driveonly.fr/fr/380-100-102-26                                                                        |       377 |           9 |               0 |                        0 |
|         382 | Standard                                                                            | https://www.driveonly.fr/fr/382-standard                                                                          |       381 |           8 |               0 |                        0 |
|         383 | 100-102/17-1                                                                        | https://www.driveonly.fr/fr/383-100-102-17-1                                                                      |       382 |           9 |               0 |                        0 |
|         385 | 100-102/26                                                                          | https://www.driveonly.fr/fr/385-100-102-26                                                                        |       382 |           9 |               0 |                        0 |
|         384 | 100-102/21-1                                                                        | https://www.driveonly.fr/fr/384-100-102-21-1                                                                      |       382 |           9 |               0 |                        0 |
|         387 | Standard                                                                            | https://www.driveonly.fr/fr/387-standard                                                                          |       386 |           8 |               0 |                        0 |
